CID,CRPName,Party,DistIDRunFor,FECCandID
N00036991,"Pena-Melnyk, Joseline",D,MD04,H6MD04217
N00027510,"Perlmutter, Edwin G",D,CO07,H6CO07023
N00034120,"Perry, Scott",R,PA04,H2PA04135
N00036895,"Peter, Richard",R,TX32,H6TX00131
N00033591,"Peters, Scott",D,CA52,H2CA52089
N00004558,"Peterson, Collin",D,MN07,H2MN07014
N00029168,"Pierluisi, Pedro",D,PR00,H8PR00062
N00013817,"Pingree, Chellie",D,ME01,H8ME01120
N00036996,"Pirkle, Greg",R,MS01,H5MS01091
N00030781,"Pistone, John",R,CT05,H0CT05127
N00034416,"Pittenger, Robert",R,NC09,H2NC09134
N00001633,"Pitts, Joe",R,PA16,H6PA16197
N00035000,"Plaskett, Stacey",D,VI00,H2VI00082
N00036935,"Plaster, Mark",R,MD03,H6MD03441
N00033549,"Pocan, Mark",D,WI02,H2WI02124
N00026457,"Poe, Ted",R,TX02,H4TX02108
N00034584,"Poliquin, Bruce",R,ME02,H4ME02234
N00029127,"Polis, Jared",D,CO02,H8CO02137
N00030744,"Pompeo, Mike",R,KS04,H0KS04051
N00003682,"Portman, Rob",R,OHS2,S0OH00133
N00029662,"Posey, Bill",R,FL08,H8FL15107
N00000962,"Powell, Adam Clayton IV",D,NY13,H4NY15071
N00002260,"Price, David",D,NC04,H6NC04037
N00026160,"Price, Tom",R,GA06,H4GA06087
N00030581,"Quigley, Mike",D,IL05,H0IL05096
N00025157,"Raasch, Wayne",D,TX27,H6TX27068
N00007635,"Radewagen, Amata Coleman",R,AS00,H4AS00036
N00037036,"Raskin, Jamie",D,MD08,H6MD08457
N00035972,"Ratcliffe, John Lee",R,TX04,H4TX04153
N00036921,"Raty, Timothy A",I,IDS2,S6ID00096
N00030949,"Reed, Tom",R,NY23,H0NY29054
N00026885,"Reichert, Dave",R,WA08,H4WA08071
N00036994,"Reigle, Hans",R,DE01,H6DE01071
N00031127,"Renacci, Jim",R,OH16,H0OH16097
N00030968,"Ribble, Reid",R,WI08,H0WI08075
N00035927,"Rice, Kathleen",D,NY04,H4NY04075
N00033832,"Rice, Tom",R,SC07,H2SC07066
N00030184,"Richmond, Cedric",D,LA02,H8LA02054
N00030962,"Rigell, Scott",R,VA02,H0VA02084
N00035642,"Ritchie, Jason",D,WA08,H4WA08121
N00036946,"Robertson, Terry",R,OH07,H6OH07119
N00030768,"Roby, Martha",R,AL02,H0AL02087
N00031007,"Roche, Frank",R,NC02,H0NC04147
N00028463,"Roe, Phil",R,TN01,H6TN01388
N00036983,"Rogers, David",R,CA16,H6CA16135
N00003473,"Rogers, Hal",R,KY05,H0KY05015
N00024759,"Rogers, Mike D",R,AL03,H2AL03032
N00007151,"Rohrabacher, Dana",R,CA48,H8CA42061
N00031741,"Rokita, Todd",R,IN04,H0IN04170
N00029018,"Rooney, Tom",R,FL17,H8FL16022
N00002858,"Ros-Lehtinen, Ileana",R,FL27,H0FL18025
N00004719,"Roskam, Peter",R,IL06,H6IL06117
N00030645,"Ross, Dennis",R,FL15,H0FL12101
N00031625,"Ross, Henry",R,MS01,H0MS01050
N00036988,"Rotering, Nancey Rodkin",D,IL10,H6IL10135
N00031253,"Rothfus, Keith J",R,PA12,H0PA04220
N00033527,"Rouzer, David",R,NC07,H2NC07096
N00006671,"Roybal-Allard, Lucille",D,CA40,H2CA33048
N00008264,"Royce, Ed",R,CA39,H6CA39020
N00030612,"Rubio, Marco",R,PRES,P60006723
N00037040,"Rucker, Austin",R,MO05,H6MO05205
N00033510,"Ruiz, Raul",D,CA36,H2CA36439
N00025482,"Ruppersberger, Dutch",D,MD02,H2MD02160
N00004887,"Rush, Bobby L",D,IL01,H2IL01042
N00036175,"Russell, Steven",R,OK05,H4OK05132
N00004357,"Ryan, Paul",R,WI01,H8WI01024
N00025280,"Ryan, Tim",D,OH13,H2OH17109
N00030418,"Sablan, Gregorio",I,MP00,H8MP00041
N00006446,"Salmon, Matt",R,AZ05,H4AZ01038
N00037038,"Sanborn, Alan",R,MI10,H6MI10201
N00024870,"Sanchez, Linda",D,CA38,H2CA39078
N00008274,"Sanchez, Loretta",D,CAS1,S6CA00691
N00000528,"Sanders, Bernie",D,PRES,P60007168
N00002424,"Sanford, Mark",R,SC01,H4SC01073
N00036948,"Santarsiero, Steve",D,PA08,H6PA08228
N00001380,"Santorum, Rick",R,PRES,P20002721
N00027751,"Sarbanes, John",D,MD03,H6MD03292
N00009660,"Scalise, Steve",R,LA01,H0LA01087
N00004724,"Schakowsky, Jan",D,IL09,H8IL09067
N00028138,"Schatz, Brian",D,HIS1,S4HI00136
N00009585,"Schiff, Adam",D,CA28,H0CA27085
N00035317,"Schnackenberg, Matt",L,FL11,H4FL11063
N00033101,"Schneider, Brad",D,IL10,H2IL10068
N00037016,"Schneider, Helene",D,CA24,H6CA24311
N00029273,"Schock, Aaron",R,IL18,H8IL18043
N00030071,"Schrader, Kurt",D,OR05,H8OR05107
N00035367,"Schroeder, Daniel Michael",R,MDS2,S6MD03433
N00037183,"Schroeder, Will",D,IL10,H6IL10143
N00026106,"Schultz, Debbie Wasserman",D,FL23,H4FL20023
N00001093,"Schumer, Charles E",D,NYS2,S8NY00082
N00006460,"Schweikert, David",R,AZ06,H4AZ06045
N00032457,"Scott, Austin",R,GA08,H0GA08099
N00002147,"Scott, Bobby",D,VA03,H6VA01117
N00024871,"Scott, David",D,GA13,H2GA13012
N00037195,"Scott, Elizabeth",R,WA01,H6WA01170
N00031782,"Scott, Tim",R,SCS1,S4SC00240
N00004291,"Sensenbrenner, F James Jr",R,WI05,H8WI09050
N00001813,"Serrano, Jose E",D,NY15,H0NY18065
N00005681,"Sessions, Pete",R,TX32,H2TX03126
N00028049,"Sestak, Joe",D,PAS1,S0PA00434
N00030622,"Sewell, Terri A",D,AL07,H0AL07086
N00009920,"Shelby, Richard C",R,ALS2,S6AL00013
N00035390,"Sheridan, Tim",D,CA42,H4CA42086
N00006897,"Sherman, Brad",D,CA30,H6CA24113
N00004961,"Shimkus, John M",R,IL15,H2IL20042
N00013770,"Shuster, Bill",R,PA09,H2PA09035
N00006263,"Simpson, Mike",R,ID02,H8ID02064
N00033983,"Sinema, Kyrsten",D,AZ09,H2AZ09019
N00027523,"Sires, Albio",D,NJ08,H6NJ13191
N00036923,"Sittenfeld, P G",D,OHS2,S6OH00247
N00001311,"Slaughter, Louise M",D,NY25,H6NY03031
N00037056,"Slavens, John",R,TX03,H6TX03150
N00007833,"Smith, Adam",D,WA09,H6WA09025
N00027623,"Smith, Adrian",R,NE03,H6NE03115
N00009816,"Smith, Chris",R,NJ04,H8NJ04014
N00035396,"Smith, Glo",R,FL05,H4FL05065
N00035282,"Smith, Jason",R,MO08,H4MO08162
N00008327,"Smith, Joe",R,FLS2,S8FL00026
N00001811,"Smith, Lamar",R,TX21,H6TX21012
N00037188,"Sol-Gutierrez, Ana",D,MD08,H6MD08473
N00037046,"Sparks, Daniel",R,MS01,H6MS01230
N00029649,"Speier, Jackie",D,CA14,H8CA12171
N00037055,"Starrett, Grant",R,TN04,H6TN04184
N00035523,"Stefanik, Elise",R,NY21,H4NY21079
N00035961,"Stern, Everett",R,PAS1,S6PA00241
N00033932,"Stewart, Chris",R,UT02,H2UT02324
N00029574,"Stivers, Steve",R,OH15,H8OH15076
N00033103,"Straw, Andrew",R,IL08,H6IL04138
N00003730,"Strickland, Ted",D,OHS2,S6OH00254
N00036760,"Strzala, Melissa",R,OHS2,S6OH00239
N00030891,"Stutzman, Marlin",R,INS2,H0IN03198
N00036916,"Swaim, Jason",I,CAS1,S6CA00592
N00033508,"Swalwell, Eric",D,CA15,H2CA15094
N00037041,"Swartz, Donnie",R,MO06,H6MO06203
N00008079,"Swing, Gary",3,COS1,S8CO00099
N00033798,"Tacherra, Johnny",R,CA16,H2CA16100
N00029848,"Taddeo, Annette",D,FL26,H8FL00034
N00036927,"Tagert, Mike",R,MS01,H5MS01042
N00035535,"Takai, Mark",D,HI01,H4HI01134
N00006701,"Takano, Mark",D,CA41,H2CA43245
N00036909,"Taub, Russ",R,RI01,H4RI01133
N00035957,"Taylor, Kerith Strano",D,PA05,H4PA05062
N00037024,"Taylor, Priscilla",D,FL18,H6FL18048
N00003288,"Thompson, Bennie G",D,MS02,H4MS02068
N00029736,"Thompson, Glenn",R,PA05,H8PA05071
N00036931,"Thompson, Kirk",R,CA36,H6CA36158
N00007419,"Thompson, Mike",D,CA05,H8CA01109
N00006052,"Thornberry, Mac",R,TX13,H4TX13014
N00037191,"Throne-Holst, Anna",D,NY01,H6NY01126
N00004572,"Thune, John",R,SDS1,S2SD00068
N00009699,"Tiberi, Patrick J",R,OH12,H0OH12062
N00027509,"Tipton, Scott",R,CO03,H6CO03139
N00030191,"Titus, Dina",D,NV01,H8NV03036
N00030196,"Tonko, Paul",D,NY20,H8NY21203
N00001489,"Toomey, Pat",R,PAS1,S4PA00121
N00036107,"Torres, Norma",D,CA35,H4CA35031
N00035607,"Trott, Dave",R,MI11,H4MI11097
N00029026,"Tsongas, Niki",D,MA03,H8MA05143
N00037035,"Turner, Ingrid",D,MD04,H6MD04225
N00025175,"Turner, Michael R",R,OH10,H2OH03067
N00004133,"Upton, Fred",R,MI06,H6MI04113
N00033367,"Valadao, David",R,CA21,H2CA20094
N00013820,"Van Hollen, Chris",D,MDS2,S6MD03441
N00007021,"Vargas, Juan",D,CA51,H2CA50026
N00033839,"Veasey, Marc",D,TX33,H2TX33073
N00037023,"Vega, Angel L",D,FL10,H6FL10128
N00034349,"Vela, Filemon",D,TX34,H2TX27190
N00001102,"Velazquez, Nydia M",D,NY07,H2NY00010
N00037021,"Veltmeyer, James",R,CA53,H6CA53054
N00035410,"Vernon, Monica",D,IA01,H4IA01077
N00037175,"Vince, Lou",D,CA25,H6CA25151
N00003813,"Visclosky, Pete",D,IN01,H4IN01012
N00036779,"Vivoni, Miguel Hernandez",3,PR00,H4PR00095
N00033106,"Wagner, Ann L",R,MO02,H2MO02102
N00026368,"Walberg, Tim",R,MI07,H4MI07103
N00007690,"Walden, Greg",R,OR02,H6OR02116
N00035311,"Walker, Mark",R,NC06,H4NC06052
N00031226,"Walorski, Jackie",R,IN02,H0IN02190
N00035391,"Walters, Mimi",R,CA45,H4CA45097
N00027467,"Walz, Timothy J",D,MN01,H6MN01174
N00006690,"Waters, Maxine",D,CA43,H4CA23011
N00037018,"Watson, Lupe Ramos",R,CA36,H6CA36166
N00033539,"Weber, Randy",R,TX14,H2TX14149
N00026335,"Webster, Daniel",R,FL10,H0FL08208
N00000515,"Welch, Peter",D,VT01,H6VT00160
N00033310,"Wenstrup, Brad",R,OH02,H2OH02085
N00035527,"Westerman, Bruce",R,AR04,H4AR04048
N00026163,"Westmoreland, Lynn A",R,GA03,H4GA08067
N00036252,"Wheeler, Marihelen",D,FL03,H4FL03110
N00036984,"White, Jim",D,MO04,H6MO04216
N00003467,"Whitfield, Ed",R,KY01,H4KY01040
N00036925,"Whitwell, Quentin",R,MS01,H5MS01026
N00027253,"Wildes, Michael",D,NJ09,H4NJ09095
N00035418,"Williams, David III",R,IL09,H4IL09074
N00037005,"Williams, Paul",D,TX15,H6TX15139
N00030602,"Williams, Roger",R,TX25,H2TX33040
N00030650,"Wilson, Frederica",D,FL24,H0FL17068
N00024809,"Wilson, Joe",R,SC02,H2SC02059
N00029459,"Wittman, Rob",R,VA01,H8VA01147
N00037232,"Wolf, August",R,CTS2,S6CT05090
N00031857,"Womack, Steve",R,AR03,H0AR03055
N00032416,"Woodall, Rob",R,GA07,H0GA07133
N00007724,"Wyden, Ron",D,ORS2,S6OR00110
N00007286,"Wyman, Phil",R,CAS1,S6CA00667
N00025271,"Xuna, John",D,FL18,H6FL18063
N00028073,"Yarmuth, John A",D,KY03,H6KY03124
N00031502,"Yoder, Kevin",R,KS03,H0KS03137
N00033220,"Yoho, Ted",R,FL03,H2FL06109
N00035509,"Young, David",R,IA03,H4IA03115
N00007999,"Young, Don",R,AK01,H6AK00045
N00030670,"Young, Todd",R,IN09,H0IN09070
N00037001,"Zalcman, Mark",R,IL18,H5IL18015
N00029404,"Zeldin, Lee",R,NY01,H8NY01148
N00035616,"Zinke, Ryan K",R,MT01,H4MT01041
N00037047,"Zinn, Walter Jr",D,MS01,H6MS01248
